"ZCTA","Total","White","Black","AmInd or Alaskan Native","Asian","PacIslander or HI Native","Other Race","Mixed","Hispanic","Total Contribs","Number Contribs","To Dems","To Repubs","Name","State"
"25674","3202","3153","3","3","2","0","0","18","23","1214","6","0","1214","Kermit","WV"
"25676","1250","1224","3","2","0","0","0","10","11","0","0","0","0","Lenore","WV"
"25678","1595","1526","44","2","0","0","0","17","6","529","3","0","100","Matewan","WV"
"25688","448","428","5","0","0","0","0","13","2","0","0","0","0","North Matewan","WV"
"25690","249","249","0","0","0","0","0","0","0","0","0","0","0","Ragland","WV"
"25692","1021","932","59","3","0","0","2","22","3","0","0","0","0","Red Jacket","WV"
"25696","295","286","3","0","2","0","0","1","3","0","0","0","0","Varney","WV"
"25699","200","200","0","0","0","0","0","0","0","0","0","0","0","Wilsondale","WV"
"25701","23284","19779","2242","73","324","6","31","542","287","92196","352","8418","49281","Huntington","WV"
"25702","7788","7261","205","15","39","0","3","179","86","7105","55","3601","796","Huntington","WV"
"25703","6751","5173","1114","16","118","9","13","180","128","565","7","68","0","Huntington","WV"
"25704","16441","15740","173","57","49","3","5","235","179","24608","161","14424","8759","Huntington","WV"
"25705","20711","18860","802","32","276","2","19","472","248","56477","182","4113","27297","Huntington","WV"
"25801","33590","27399","4432","88","519","5","39","689","419","35884","112","12325","8180","Beckley","WV"
"25810","261","240","8","0","0","0","2","11","0","0","0","0","0","Allen Junction","WV"
"25811","154","152","1","0","1","0","0","0","0","0","0","0","0","Amigo","WV"
"25812","1902","1837","38","3","0","0","2","6","16","165","12","0","160","Ansted","WV"
"25813","8063","6101","1443","38","15","3","5","93","365","34309","23","31010","2630","Beaver","WV"
"25817","784","773","3","0","1","0","0","3","4","0","0","0","0","Bolt","WV"
"25818","472","419","25","2","7","1","0","6","12","0","0","0","0","Bradley","WV"
"25820","437","433","0","0","0","0","0","2","2","0","0","0","0","Camp Creek","WV"
"25823","2176","2090","10","2","1","0","0","70","3","0","0","0","0","Coal City","WV"
"25825","2390","2353","2","2","5","0","0","23","5","3570","15","1208","2312","Cool Ridge","WV"
"25826","296","287","2","0","0","0","0","6","1","865","7","0","865","Corinne","WV"
"25827","2488","2427","7","3","7","2","0","40","2","354","3","0","0","Crab Orchard","WV"
"25831","1421","1404","2","1","0","1","0","8","5","0","0","0","0","Danese","WV"
"25832","3994","3792","44","9","71","0","3","29","46","16150","24","0","11550","Daniels","WV"
"25836","488","480","7","0","0","0","0","0","1","0","0","0","0","Eccles","WV"
"25837","391","385","0","1","1","0","0","3","1","0","0","0","0","Edmond","WV"
"25839","691","679","0","3","0","0","0","6","3","0","0","0","0","Fairdale","WV"
"25840","8179","7774","217","14","14","1","4","64","91","5109","63","2769","2062","Fayetteville","WV"
"25841","575","563","1","2","0","0","0","4","5","730","2","0","0","Flat Top","WV"
"25843","791","771","0","0","3","0","2","9","6","2760","6","60","2700","Ghent","WV"
"25844","1417","1387","4","3","0","0","0","15","8","0","0","0","0","Glen Daniel","WV"
"25845","627","616","2","2","0","0","0","6","1","0","0","0","0","Glen Fork","WV"
"25846","363","301","58","0","0","0","0","0","4","80","2","0","0","Glen Jean","WV"
"25848","443","430","11","0","0","0","0","2","0","0","0","0","0","Glen Rogers","WV"
"25849","266","195","57","1","0","6","0","5","2","0","0","0","0","Glen White","WV"
"25853","182","169","10","0","0","0","1","2","0","0","0","0","0","Helen","WV"
"25854","1101","1091","1","4","0","0","0","2","3","240","1","240","0","Hico","WV"
"25855","209","195","8","0","1","1","0","4","0","0","0","0","0","Hilltop","WV"
"25857","308","302","6","0","0","0","0","0","0","0","0","0","0","Josephine","WV"
"25862","266","265","0","0","0","0","0","0","1","102","3","102","0","Lansing","WV"
"25864","309","308","0","0","0","0","0","1","0","0","0","0","0","Layland","WV"
"25865","1475","1383","66","3","0","0","0","19","4","657","4","0","0","Lester","WV"
"25868","432","419","1","0","0","0","0","2","10","0","0","0","0","Lookout","WV"
"25870","103","102","0","0","0","0","0","1","0","0","0","0","0","Maben","WV"
"25871","695","618","49","1","0","0","0","20","7","0","0","0","0","Mabscott","WV"
"25873","607","591","2","0","3","1","1","5","4","0","0","0","0","Mac Arthur","WV"
"25875","486","475","3","0","0","0","0","5","3","0","0","0","0","Mc Graws","WV"
"25876","128","126","1","0","0","0","0","1","0","0","0","0","0","Saulsville","WV"
"25878","930","891","12","0","0","0","0","15","12","93","4","0","93","Midway","WV"
"25879","359","342","1","2","0","0","0","13","1","0","0","0","0","Minden","WV"
"25880","6928","6182","438","13","63","3","1","135","93","4619","27","2927","1572","Mount Hope","WV"
"25882","2033","1953","41","3","0","0","3","32","1","208","3","0","0","Mullens","WV"
"25901","11920","10958","581","26","28","1","5","194","127","6801","26","640","2161","Oak Hill","WV"
"25902","420","416","0","0","1","0","0","2","1","0","0","0","0","Odd","WV"
"25904","365","360","2","0","1","0","0","1","1","0","0","0","0","Pax","WV"
"25906","287","281","1","3","0","0","0","2","0","55","2","50","0","Piney View","WV"
"25907","123","122","0","0","0","0","0","0","1","0","0","0","0","Prince","WV"
"25908","172","170","1","0","0","0","0","1","0","0","0","0","0","Princewick","WV"
"25911","55","29","26","0","0","0","0","0","0","0","0","0","0","Raleigh","WV"
"25913","397","394","0","0","0","0","0","3","0","0","0","0","0","Ravencliff","WV"
"25915","311","295","13","0","0","0","0","3","0","0","0","0","0","Rhodell","WV"
"25916","202","200","0","0","0","0","0","2","0","0","0","0","0","Sabine","WV"
"25917","2139","1989","104","7","1","0","0","28","10","614","6","253","361","Scarbro","WV"
