ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
60949,636,581,13,1,10,0,2,13,16,0,0,0,0,Ludlow,IL
60950,12168,11127,204,30,56,2,4,110,635,16615,611,6556,7345,Manteno,IL
60951,961,925,1,0,5,0,0,7,23,1652,5,1152,0,Martinton,IL
60952,684,654,5,1,3,0,0,7,14,1412,18,587,350,Melvin,IL
60953,2469,2361,10,2,7,0,0,18,71,3667,18,2200,570,Milford,IL
60954,6104,4896,251,17,24,8,5,78,825,4709,36,1170,2316,Momence,IL
60955,1901,1276,22,5,5,0,0,20,573,7,2,0,10,Onarga,IL
60957,5615,5377,41,10,8,0,6,40,133,5204,53,1080,1940,Paxton,IL
60958,2135,166,1849,4,9,0,1,46,60,0,0,0,0,Pembroke Township,IL
60959,1082,1015,0,3,6,0,0,6,52,0,0,0,0,Piper City,IL
60960,1064,979,5,0,2,0,0,20,58,40,1,0,0,Rankin,IL
60961,700,683,0,2,0,0,0,8,7,310,5,60,0,Reddick,IL
60962,524,509,4,0,1,0,0,2,8,1181,3,0,0,Roberts,IL
60963,1807,1700,17,12,6,0,0,17,55,3795,56,552,2880,Rossville,IL
60964,4968,3856,599,3,18,0,4,56,432,5530,53,1145,3787,Saint Anne,IL
60966,1526,1458,22,6,3,0,0,10,27,1325,12,0,1050,Sheldon,IL
60968,433,387,2,3,1,0,0,8,32,2010,13,0,1610,Thawville,IL
60969,65,58,5,0,0,0,0,0,2,750,2,0,750,Union Hill,IL
60970,7190,6737,60,8,42,0,2,79,262,11597,64,928,4190,Watseka,IL
60973,385,373,0,0,0,0,0,1,11,360,3,0,360,Wellington,IL
60974,283,273,0,1,0,0,0,4,5,0,0,0,0,Woodland,IL
