ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,Other Race,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
10601,11376,4710,2268,5,1091,0,40,223,3039,152854,331,98226,23301,White Plains,NY
10603,17045,7261,4401,15,1111,12,58,320,3867,49738,361,35308,5282,White Plains,NY
10604,11250,7171,720,12,539,7,27,165,2609,108030,169,74284,20505,West Harrison,NY
10605,18126,12526,1376,18,926,4,35,249,2992,200722,754,128923,44989,White Plains,NY
10606,16499,5487,2362,12,921,3,88,199,7427,74178,389,49157,9825,White Plains,NY
10607,6824,2360,1818,5,710,0,61,164,1706,19212,205,16946,1250,White Plains,NY
10701,63393,16042,16335,166,2249,10,248,1033,27310,43826,502,32986,7237,Yonkers,NY
10703,20301,8584,2961,22,1149,19,105,372,7089,13197,81,5560,7086,Yonkers,NY
10704,30165,19634,2161,38,1653,7,103,366,6203,51292,281,21402,18428,Yonkers,NY
10705,38777,9148,6061,81,2178,11,120,632,20546,62683,485,40468,18682,Yonkers,NY
10706,8679,6902,327,11,503,0,43,168,725,170630,855,149699,6741,Hastings on Hudson,NY
10707,10097,7532,707,12,682,1,16,143,1004,24858,170,14039,7182,Tuckahoe,NY
10708,21225,16951,916,10,940,1,58,296,2053,962227,1228,364819,332129,Bronxville,NY
10709,9292,7782,78,4,614,0,19,72,723,37967,143,23495,7875,Eastchester,NY
10710,25120,13738,2851,54,3314,6,91,438,4628,66869,291,46536,16102,Yonkers,NY
10801,40827,13551,9828,75,1646,5,123,623,14976,125306,518,63085,35087,New Rochelle,NY
10803,12435,9496,729,5,642,1,61,258,1243,242561,726,149152,56784,Pelham,NY
10804,14146,11567,1065,3,568,7,25,197,714,383203,921,205482,113583,New Rochelle,NY
10805,18414,8689,2917,16,793,8,91,272,5628,71346,884,35837,20934,New Rochelle,NY
10901,23465,18135,966,49,1136,4,35,313,2827,131502,529,72082,31955,Suffern,NY
10910,21,16,0,0,5,0,0,0,0,25,1,0,0,Arden,NY
10911,2,2,0,0,0,0,0,0,0,0,0,0,0,Bear Mountain,NY
10913,5532,4384,116,3,367,1,2,85,574,21167,65,12077,3583,Blauvelt,NY
10914,414,328,22,0,11,0,2,4,47,2760,12,2694,0,Blooming Grove,NY
10915,119,105,4,0,0,0,0,1,9,918,6,0,755,Bullville,NY
10916,4540,3825,154,12,89,0,11,65,384,7323,55,2177,3319,Campbell Hall,NY
10917,1968,1479,54,3,104,0,3,30,295,5234,21,2750,454,Central Valley,NY
10918,11647,8692,748,34,430,1,21,252,1469,84233,285,7193,36293,Chester,NY
10919,1040,794,37,4,28,0,4,14,159,1728,39,0,1728,Circleville,NY
10920,8554,6051,223,25,1090,1,23,150,991,12239,122,10046,1325,Congers,NY
10921,4135,3255,187,11,77,1,0,50,554,7565,95,6312,840,Florida,NY
10922,1559,1264,42,14,23,0,21,35,160,2074,45,899,1175,Fort Montgomery,NY
10923,8732,4336,1169,4,327,2,21,140,2733,5392,88,2623,2156,Garnerville,NY
10924,13120,9995,726,40,351,6,23,187,1792,49892,222,37228,5289,Goshen,NY
10925,4539,3775,72,23,97,0,5,58,509,7664,207,5501,1523,Greenwood Lake,NY
10926,3203,2001,297,14,307,1,9,68,506,6907,50,5738,500,Harriman,NY
10927,11910,2299,1154,24,262,2,11,165,7993,7031,99,5168,825,Haverstraw,NY
10928,4175,2695,474,18,86,0,2,133,767,2270,31,670,1050,Highland Falls,NY
10930,8958,6554,484,12,457,4,19,186,1242,19782,137,8857,3700,Highland Mills,NY
10931,1023,427,166,84,35,0,3,106,202,250,1,0,250,Hillburn,NY
10932,60,55,0,0,0,0,0,0,5,97,6,97,0,Howells,NY
