ZCTA,Total,White,Black,AmIndorAlaskanNative,Asian,PacIslanderorHINative,OtherRace,Mixed,Hispanic,TotalContribs,NumberContribs,ToDems,ToRepubs,Name,State
48613,1158,1124,1,12,0,0,0,8,13,532,5,0,275,Bentley,MI
48614,1376,1328,2,7,1,0,0,8,30,0,0,0,0,Brant,MI
48615,3058,2882,8,17,4,0,0,22,125,10936,22,133,300,Breckenridge,MI
48616,7513,7057,35,33,13,0,2,53,320,3161,24,600,1700,Chesaning,MI
48617,8857,8450,56,63,45,0,4,99,140,3937,27,331,1673,Clare,MI
48618,5393,5165,11,31,8,1,3,84,90,2447,35,803,750,Coleman,MI
48619,465,454,0,1,0,0,0,9,1,305,2,230,75,Comins,MI
48621,1359,1329,0,6,2,0,0,13,9,1380,15,50,1330,Fairview,MI
48622,6491,6248,20,44,19,4,7,63,86,3089,25,714,1880,Farwell,MI
48623,13993,12392,924,62,99,5,4,116,391,29835,149,5549,11138,Freeland,MI
